student_id,enrollment_status,major,gpa,attendance,,final grade,course_load_per_term,study_hours_per_week,course_difficulty_experience,highest_degree,certifications,education_background,career_goal,preferred_industry,success,job_growth_outlook
1000,Full-time,Computer Science,3.88,100,,A,6,13,Easy,Bachelor's Degree,AutoCAD,Non-STEM,Software Developer,Computer Science,1,Growing
1001,Part-time,Business,3.3,95,,A,6,7,Moderate,Master's Degree,Excel for Business,Non-STEM,Marketing Manager,Business,0,
1002,Part-time,Healthcare,2.53,85,,A,3,10,Hard,Bachelor's Degree,"AutoCAD, Leadership Skills",Non-STEM,Registered Nurse,Healthcare,1,Growing
1003,Part-time,Healthcare,3.46,80,,B+,4,16,Easy,Master's Degree,"AutoCAD, Leadership Skills",Non-STEM,Registered Nurse,Healthcare,1,Growing
1004,Part-time,Computer Science,2.57,94,,B+,5,6,Moderate,Master's Degree,AutoCAD,Non-STEM,Software Developer,Computer Science,1,Growing
1005,Full-time,Engineering,2.67,97,,B+,5,20,Hard,Master's Degree,"Python Basics, Leadership Skills",Non-STEM,Mechanical Engineer,Engineering,1,Stable
1006,Full-time,Business,3.63,76,,B,5,14,Moderate,Bachelor's Degree,"Leadership Skills, AutoCAD",STEM,Marketing Manager,Business,1,Stable
1007,Part-time,Engineering,3.61,74,,B,3,6,Hard,Master's Degree,AutoCAD,Non-STEM,Mechanical Engineer,Engineering,0,
1008,Part-time,Healthcare,3.9,97,,A,6,13,Easy,High School,AutoCAD,Non-STEM,Registered Nurse,Healthcare,1,Growing
1009,Part-time,Healthcare,2.44,82,,B,6,14,Hard,Bachelor's Degree,AutoCAD,Non-STEM,Registered Nurse,Healthcare,0,
1010,Part-time,Engineering,3.39,76,,B,3,11,Hard,Bachelor's Degree,Excel for Business,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1011,Part-time,Engineering,3.26,90,,C+,6,10,Moderate,Bachelor's Degree,Python Basics,Non-STEM,Mechanical Engineer,Engineering,0,
1012,Part-time,Computer Science,2.91,94,,B,6,12,Easy,Master's Degree,Leadership Skills,STEM,Software Developer,Computer Science,0,
1013,Full-time,Healthcare,3.09,87,,B,3,14,Moderate,Bachelor's Degree,Excel for Business,STEM,Registered Nurse,Healthcare,0,
1014,Full-time,Engineering,3.35,98,,B,6,18,Moderate,High School,Excel for Business,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1015,Part-time,Healthcare,2.42,90,,C+,4,20,Hard,High School,Leadership Skills,Non-STEM,Registered Nurse,Healthcare,1,Growing
1016,Part-time,Healthcare,2.4,79,,A,3,19,Easy,Master's Degree,"First Aid, Leadership Skills",Non-STEM,Registered Nurse,Healthcare,1,Growing
1017,Full-time,Business,2.81,73,,C+,4,9,Easy,High School,"AutoCAD, Python Basics",Non-STEM,Marketing Manager,Business,1,Stable
1018,Full-time,Healthcare,3.27,90,,B,6,8,Hard,High School,"Leadership Skills, First Aid",STEM,Registered Nurse,Healthcare,1,Growing
1019,Part-time,Computer Science,3.06,80,,B,5,7,Hard,High School,"Leadership Skills, Python Basics",Non-STEM,Software Developer,Computer Science,0,
1020,Part-time,Business,2.67,94,,B,5,10,Easy,High School,First Aid,Non-STEM,Marketing Manager,Business,0,
1021,Part-time,Business,2.94,88,,A,3,20,Moderate,Master's Degree,First Aid,Non-STEM,Marketing Manager,Business,0,
1022,Part-time,Healthcare,3.96,73,,B,5,14,Easy,Master's Degree,"First Aid, Leadership Skills",Non-STEM,Registered Nurse,Healthcare,0,
1023,Full-time,Computer Science,3.08,90,,A,5,10,Easy,High School,Leadership Skills,Non-STEM,Software Developer,Computer Science,1,Growing
1024,Part-time,Business,3.19,82,,A,6,14,Moderate,Master's Degree,Python Basics,STEM,Marketing Manager,Business,1,Stable
1025,Full-time,Engineering,2.35,98,,B,5,7,Hard,High School,"AutoCAD, First Aid",STEM,Mechanical Engineer,Engineering,0,
1026,Part-time,Business,2.37,94,,B+,4,7,Moderate,Master's Degree,"AutoCAD, First Aid",STEM,Marketing Manager,Business,0,
1027,Part-time,Computer Science,2.93,84,,B,6,17,Moderate,Bachelor's Degree,"First Aid, AutoCAD",Non-STEM,Software Developer,Computer Science,1,Growing
1028,Part-time,Computer Science,3.34,94,,A,6,17,Easy,Master's Degree,Excel for Business,STEM,Software Developer,Computer Science,0,
1029,Full-time,Business,2.58,99,,C+,4,16,Moderate,High School,"AutoCAD, Python Basics",STEM,Marketing Manager,Business,1,Stable
1030,Part-time,Computer Science,2.38,81,,C+,5,12,Easy,Master's Degree,Excel for Business,Non-STEM,Software Developer,Computer Science,0,
1031,Full-time,Computer Science,3.9,87,,B,4,11,Hard,Master's Degree,"Python Basics, Excel for Business",STEM,Software Developer,Computer Science,0,
1032,Full-time,Engineering,2.52,88,,B,5,8,Hard,Bachelor's Degree,First Aid,Non-STEM,Mechanical Engineer,Engineering,0,
1033,Full-time,Business,2,74,,B,6,6,Easy,Master's Degree,Excel for Business,STEM,Marketing Manager,Business,1,Stable
1034,Part-time,Engineering,3.97,75,,B+,4,7,Hard,Bachelor's Degree,Leadership Skills,Non-STEM,Mechanical Engineer,Engineering,1,Stable
1035,Full-time,Engineering,2.58,81,,B+,4,10,Moderate,High School,Python Basics,STEM,Mechanical Engineer,Engineering,1,Stable
1036,Full-time,Computer Science,3.69,95,,C+,4,16,Moderate,Bachelor's Degree,"AutoCAD, Python Basics",Non-STEM,Software Developer,Computer Science,0,
1037,Full-time,Healthcare,3.55,89,,A,3,17,Easy,High School,Python Basics,Non-STEM,Registered Nurse,Healthcare,1,Growing
1038,Part-time,Business,3.06,93,,A,4,19,Easy,Master's Degree,"First Aid, Excel for Business",Non-STEM,Marketing Manager,Business,0,
1039,Part-time,Healthcare,3.15,96,,B+,5,20,Hard,High School,"Leadership Skills, AutoCAD",STEM,Registered Nurse,Healthcare,1,Growing
1040,Part-time,Healthcare,3.61,77,,B+,5,9,Moderate,High School,"First Aid, Excel for Business",STEM,Registered Nurse,Healthcare,0,
1041,Full-time,Healthcare,2.62,83,,A,6,11,Easy,Bachelor's Degree,"AutoCAD, Excel for Business",Non-STEM,Registered Nurse,Healthcare,1,Growing
1042,Full-time,Healthcare,2.98,97,,B+,6,12,Easy,Bachelor's Degree,Python Basics,STEM,Registered Nurse,Healthcare,1,Growing
1043,Full-time,Engineering,2.2,76,,C+,3,7,Moderate,Bachelor's Degree,First Aid,STEM,Mechanical Engineer,Engineering,0,
1044,Full-time,Computer Science,2.21,92,,A,6,12,Moderate,Master's Degree,"AutoCAD, First Aid",Non-STEM,Software Developer,Computer Science,1,Growing
1045,Full-time,Healthcare,2,85,,A,3,9,Moderate,Bachelor's Degree,"Leadership Skills, AutoCAD",STEM,Registered Nurse,Healthcare,0,
1046,Full-time,Computer Science,2.52,80,,B,5,11,Moderate,Bachelor's Degree,"AutoCAD, Python Basics",Non-STEM,Software Developer,Computer Science,1,Growing
1047,Part-time,Healthcare,3.94,73,,B,6,14,Easy,Master's Degree,Excel for Business,Non-STEM,Registered Nurse,Healthcare,0,
1048,Full-time,Business,2.97,77,,C+,4,15,Moderate,High School,AutoCAD,STEM,Marketing Manager,Business,0,
1049,Full-time,Business,2.98,94,,B,3,6,Hard,Master's Degree,"Leadership Skills, Python Basics",STEM,Marketing Manager,Business,1,Stable
1050,Full-time,Business,3.29,84,,B+,3,14,Moderate,High School,"First Aid, Leadership Skills",STEM,Marketing Manager,Business,1,Stable
1051,Full-time,Healthcare,3.97,77,,A,5,7,Easy,High School,"Python Basics, First Aid",Non-STEM,Registered Nurse,Healthcare,1,Growing
1052,Full-time,Healthcare,3.11,90,,B+,5,20,Moderate,High School,"Python Basics, First Aid",Non-STEM,Registered Nurse,Healthcare,0,
1053,Part-time,Computer Science,3.09,99,,C+,6,10,Easy,Master's Degree,Python Basics,STEM,Software Developer,Computer Science,0,
1054,Full-time,Computer Science,3.89,77,,B,6,10,Hard,Bachelor's Degree,"AutoCAD, First Aid",STEM,Software Developer,Computer Science,1,Growing
1055,Part-time,Engineering,3.29,86,,A,5,8,Easy,Master's Degree,Excel for Business,STEM,Mechanical Engineer,Engineering,0,
1056,Full-time,Engineering,2.19,78,,B+,3,7,Easy,Master's Degree,AutoCAD,Non-STEM,Mechanical Engineer,Engineering,0,
1057,Part-time,Business,3.75,91,,B+,6,20,Easy,Bachelor's Degree,Leadership Skills,STEM,Marketing Manager,Business,0,
1058,Full-time,Healthcare,3.95,96,,B,4,7,Moderate,High School,Leadership Skills,STEM,Registered Nurse,Healthcare,0,
1059,Part-time,Business,3.85,98,,B,6,6,Easy,Master's Degree,"Excel for Business, Python Basics",Non-STEM,Marketing Manager,Business,0,
1060,Part-time,Engineering,3.4,97,,B,3,17,Easy,Master's Degree,"AutoCAD, Leadership Skills",Non-STEM,Mechanical Engineer,Engineering,1,Stable
1061,Part-time,Healthcare,2.92,82,,B,6,10,Moderate,Bachelor's Degree,"AutoCAD, Leadership Skills",Non-STEM,Registered Nurse,Healthcare,1,Growing
1062,Part-time,Business,3.17,94,,C+,3,14,Easy,High School,Leadership Skills,Non-STEM,Marketing Manager,Business,0,
1063,Full-time,Business,3.46,83,,B+,4,18,Hard,High School,Leadership Skills,Non-STEM,Marketing Manager,Business,0,
1064,Full-time,Computer Science,2.86,73,,C+,4,18,Hard,High School,Python Basics,Non-STEM,Software Developer,Computer Science,1,Growing
1065,Full-time,Healthcare,2.5,86,,B+,6,10,Easy,Master's Degree,"Leadership Skills, Excel for Business",STEM,Registered Nurse,Healthcare,1,Growing
1066,Part-time,Computer Science,3.22,78,,B,3,10,Easy,Bachelor's Degree,Python Basics,STEM,Software Developer,Computer Science,0,
1067,Full-time,Computer Science,2.25,79,,A,4,7,Easy,Master's Degree,"First Aid, Leadership Skills",Non-STEM,Software Developer,Computer Science,1,Growing
1068,Part-time,Computer Science,2.51,80,,C+,3,13,Hard,Master's Degree,"Python Basics, Excel for Business",Non-STEM,Software Developer,Computer Science,1,Growing
1069,Part-time,Computer Science,3.21,79,,B,5,9,Easy,High School,"AutoCAD, Excel for Business",STEM,Software Developer,Computer Science,0,
1070,Part-time,Engineering,2.66,87,,C+,6,17,Moderate,Master's Degree,Leadership Skills,STEM,Mechanical Engineer,Engineering,1,Stable
1071,Part-time,Business,2.15,94,,B,3,11,Hard,High School,"First Aid, Leadership Skills",STEM,Marketing Manager,Business,0,
1072,Part-time,Business,2.95,82,,B+,6,20,Moderate,Master's Degree,Python Basics,Non-STEM,Marketing Manager,Business,1,Stable
1073,Part-time,Engineering,3.74,82,,C+,6,7,Hard,Bachelor's Degree,"Excel for Business, Leadership Skills",Non-STEM,Mechanical Engineer,Engineering,1,Stable
1074,Full-time,Computer Science,3.24,93,,C+,4,7,Hard,Master's Degree,Leadership Skills,Non-STEM,Software Developer,Computer Science,1,Growing
1075,Full-time,Healthcare,2.36,73,,B+,5,8,Easy,Master's Degree,First Aid,Non-STEM,Registered Nurse,Healthcare,0,
1076,Part-time,Healthcare,2.75,100,,B,5,6,Hard,High School,"Leadership Skills, AutoCAD",Non-STEM,Registered Nurse,Healthcare,0,
1077,Part-time,Business,3.91,80,,C+,6,18,Moderate,Master's Degree,Python Basics,Non-STEM,Marketing Manager,Business,0,
1078,Part-time,Business,2.71,91,,B,6,19,Easy,Master's Degree,"First Aid, AutoCAD",STEM,Marketing Manager,Business,1,Stable
1079,Part-time,Business,3.72,95,,B+,6,20,Hard,Master's Degree,Excel for Business,Non-STEM,Marketing Manager,Business,1,Stable
1080,Full-time,Healthcare,3.83,90,,C+,4,13,Moderate,Bachelor's Degree,Leadership Skills,Non-STEM,Registered Nurse,Healthcare,1,Growing
