student_id,course_major,actual_grade,completion_status,student_difficulty_rating,study_hours_logged,feedback_comment,student_major,course_id
2972,Business,,Dropped,3.3,9,Balanced workload with practical assignments.,Business,COURSE0103
1631,Business,,Dropped,3.3,20,Challenging but manageable with consistent effort.,Computer Science,COURSE0436
1442,Healthcare,B+,Completed,4.1,7,Intensive exams and complex assignments.,Engineering,COURSE0349
2571,Business,F,Failed,4.7,14,Demanding course with a heavy workload.,Healthcare,COURSE0271
2330,Computer Science,A,Completed,4.5,5,Not recommended without a strong background.,Business,COURSE0107
3314,Business,,Dropped,2.5,14,Helpful for gaining confidence in fundamentals.,Business,COURSE0072
2769,Engineering,,Failed,3.9,18,Requires significant study time and dedication.,Business,COURSE0189
1055,Business,F,Failed,2.3,7,Straightforward and beginner-friendly course.,Engineering,COURSE0021
1118,Business,,Dropped,4.5,9,Requires significant study time and dedication.,Business,COURSE0103
1300,Business,,Failed,4.2,6,Demanding course with a heavy workload.,Business,COURSE0122
2509,Computer Science,F,Dropped,4.6,11,Intensive exams and complex assignments.,Engineering,COURSE0467
1646,Healthcare,,Dropped,2.8,15,Challenging but manageable with consistent effort.,Engineering,COURSE0215
1987,Business,,Dropped,2.3,20,Helpful for gaining confidence in fundamentals.,Healthcare,COURSE0331
1517,Engineering,,Failed,3.0,7,"Requires regular study, but rewarding overall.",Engineering,COURSE0459
2760,Business,,Failed,4.5,13,Conceptually tough and fast-paced.,Business,COURSE0088
2703,Business,F,Dropped,3.3,20,Good mix of theory and application.,Healthcare,COURSE0373
2427,Computer Science,B,Completed,3.6,15,Good mix of theory and application.,Business,COURSE0100
2199,Healthcare,,Dropped,2.7,5,Helpful for gaining confidence in fundamentals.,Engineering,COURSE0360
2929,Computer Science,,Failed,2.7,16,Easy to follow with clear instructions.,Computer Science,COURSE0152
1045,Computer Science,F,Dropped,3.6,20,"Some complex topics, but support was available.",Healthcare,COURSE0131
1811,Business,,Failed,2.5,15,Straightforward and beginner-friendly course.,Engineering,COURSE0150
3290,Business,B+,Completed,3.6,20,Balanced workload with practical assignments.,Healthcare,COURSE0309
3471,Business,,Dropped,3.5,10,Challenging but manageable with consistent effort.,Computer Science,COURSE0258
2650,Business,F,Dropped,3.7,13,"Some complex topics, but support was available.",Business,COURSE0344
2192,Business,,Dropped,2.8,8,Balanced workload with practical assignments.,Engineering,COURSE0492
1412,Computer Science,,Dropped,3.3,5,Good mix of theory and application.,Healthcare,COURSE0414
2583,Business,F,Completed,4.0,12,Requires significant study time and dedication.,Engineering,COURSE0294
2407,Business,,Failed,2.7,6,Helpful for gaining confidence in fundamentals.,Engineering,COURSE0386
1981,Business,,Dropped,4.4,9,Demanding course with a heavy workload.,Healthcare,COURSE0192
2326,Business,,Dropped,3.5,12,Challenging but manageable with consistent effort.,Business,COURSE0444
