student_id,gpa,attendance,course_load_per_term,study_hours_per_week,course_difficulty_experience,highest_degree,career_goal,delivery_mode,fail_rate,major_x,enrollment_status,student_difficulty_rating,prerequisite_level,completion_status,weekly_study_hours_required,average_grade,study_hours_logged
4001,3.39,89,6,22,Moderate,Master,UI/UX Design,Online,0.01,Business,Full-time,2,Advanced,Dropped,7,57.0,6
4002,2.57,87,3,15,Hard,Master,Healthcare Informatics,Online,0.04,CS,Full-time,3,Intermediate,Ongoing,8,82.45,10
4003,2.45,98,3,20,Moderate,Bachelor,Healthcare Informatics,Hybrid,0.09,CS,Part-time,8,Intermediate,Dropped,18,82.18,5
4004,3.1,85,5,11,Easy,Master,UI/UX Design,In-person,0.18,CS,Part-time,8,None,Ongoing,19,80.86,11
4005,3.44,85,6,5,Moderate,Bachelor,AI & Robotics,Online,0.01,CS,Part-time,4,Advanced,Ongoing,9,89.31,6
4006,2.85,60,6,14,Moderate,Master,Cybersecurity,Online,0.19,Finance,Full-time,7,Advanced,Dropped,13,78.24,18
4007,3.96,81,3,15,Hard,Diploma,Cybersecurity,Online,0.02,Business,Part-time,6,None,Ongoing,6,79.64,7
4008,3.37,82,5,14,Moderate,Master,Cybersecurity,Online,0.38,Finance,Full-time,7,Advanced,Completed,16,86.85,16
4009,2.96,84,3,15,Easy,Diploma,UI/UX Design,Online,0.41,Finance,Part-time,1,Advanced,Completed,8,58.13,12
4010,2.78,67,3,12,Hard,Bachelor,Software Engineering,Hybrid,0.28,Design,Full-time,3,None,Dropped,15,56.92,18
4011,2.69,93,5,16,Hard,Diploma,Finance,In-person,0.09,Design,Full-time,5,Intermediate,Completed,18,86.58,18
4012,3.46,74,6,23,Easy,Bachelor,Healthcare Informatics,In-person,0.35,Design,Part-time,1,Advanced,Dropped,16,75.32,22
4013,2.88,61,5,24,Easy,Master,AI & Robotics,Online,0.06,Design,Part-time,2,Advanced,Dropped,11,66.19,12
4014,2.12,71,4,15,Easy,Diploma,Finance,Hybrid,0.48,Design,Part-time,1,Advanced,Completed,19,55.62,11
4015,2.8,77,4,8,Easy,Master,AI & Robotics,Online,0.08,Finance,Full-time,1,Intermediate,Completed,6,54.79,11
4016,3.48,66,4,6,Hard,Bachelor,UI/UX Design,Hybrid,0.33,Finance,Full-time,5,Advanced,Dropped,9,86.23,8
4017,2.36,86,5,23,Easy,Diploma,Finance,In-person,0.37,CS,Part-time,8,Advanced,Ongoing,16,53.82,15
