student_id,career_goal,recommended_courses
1001,AI & Robotics,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1002,AI & Robotics,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1003,Finance,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1004,UI/UX Design,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1005,Software Engineering,Software Testing and Automation
1006,UI/UX Design,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1007,Marketing,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1008,UI/UX Design,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1009,Marketing,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
1010,Marketing,"Python for Data Science, Machine Learning Fundamentals, Deep Learning with TensorFlow, Big Data and Spark, AI Ethics and Bias, Statistical Data Analysis, Computer Vision, Natural Language Processing, Data Wrangling with Pandas, Time Series Forecasting, Advanced Java Programming, System Design and Architecture, Microservices with Spring Boot, Agile and DevOps Practices, Cloud Computing with AWS, Full Stack Web Development, Cybersecurity Fundamentals, Mobile App Development with React Native, Database Optimization Techniques, Software Testing and Automation, Business Intelligence with Power BI, Financial Modeling and Forecasting, Entrepreneurship and Startups, Digital Marketing and SEO, E-commerce Strategy, Corporate Finance Essentials, Investment Banking Fundamentals, Leadership and Management Skills, Project Management with Agile, Business Negotiation Strategies, Healthcare Data Analytics, Medical Ethics and Law, Public Health Policies and Management, Pharmaceutical Business Strategy, Biostatistics for Medical Research, Hospital Administration, Medical Imaging and AI, Telemedicine and Digital Health, Clinical Research and Trials, Health Informatics and EMR Systems"
